买单执行, sz128072, 107.43, 1800, 2023-01-04 00:00:00
买单执行, sz123014, 131.60, 1500, 2023-01-04 00:00:00
买单执行, sz123013, 495.88, 400, 2023-01-04 00:00:00
买单执行, sz123011, 113.69, 1700, 2023-01-04 00:00:00
买单执行, sz123100, 109.71, 1800, 2023-01-04 00:00:00
买单执行, sh113601, 108.85, 1800, 2023-01-04 00:00:00
买单执行, sz128070, 120.86, 1600, 2023-01-04 00:00:00
买单执行, sh111005, 122.24, 1600, 2023-01-04 00:00:00
买单执行, sh113527, 114.30, 1700, 2023-01-04 00:00:00
买单执行, sh113573, 114.30, 1700, 2023-01-04 00:00:00
买单执行, sz128076, 123.50, 1700, 2023-01-04 00:00:00
买单执行, sz123088, 118.40, 1700, 2023-01-04 00:00:00
买单执行, sh118021, 125.91, 1600, 2023-01-04 00:00:00
买单执行, sz123106, 111.27, 1700, 2023-01-04 00:00:00
买单执行, sh113594, 117.00, 1700, 2023-01-04 00:00:00
买单执行, sz128125, 105.09, 1900, 2023-01-04 00:00:00
卖单执行, sh113594, 118.70, -1700, 2023-01-05 00:00:00, 资金费用: 0.00
卖单执行, sz128125, 105.70, -1900, 2023-01-05 00:00:00, 资金费用: 0.00
卖单执行, sz123054, 126.70, -1600, 2023-01-06 00:00:00, 资金费用: 0.00
买单执行, sz128076, 121.60, 100, 2023-01-06 00:00:00
买单执行, sz128049, 112.46, 100, 2023-01-06 00:00:00
买单执行, sh113566, 119.48, 100, 2023-01-06 00:00:00
买单执行, sz123155, 112.28, 100, 2023-01-06 00:00:00
买单执行, sz128066, 112.65, 100, 2023-01-06 00:00:00
买单执行, sz123088, 118.91, 100, 2023-01-06 00:00:00
买单执行, sz123100, 111.50, 100, 2023-01-06 00:00:00
买单执行, sz123141, 117.86, 100, 2023-01-06 00:00:00
买单执行, sz123163, 124.82, 100, 2023-01-06 00:00:00
买单执行, sz123126, 110.25, 100, 2023-01-06 00:00:00
买单执行, sh113535, 110.00, 100, 2023-01-06 00:00:00
买单执行, sh118016, 116.09, 100, 2023-01-06 00:00:00
买单执行, sz128120, 116.04, 100, 2023-01-06 00:00:00
买单执行, sh111005, 123.00, 100, 2023-01-06 00:00:00
买单执行, sz128118, 109.52, 100, 2023-01-06 00:00:00
买单执行, sh113524, 115.60, 100, 2023-01-06 00:00:00
买单执行, sh113595, 109.15, 100, 2023-01-06 00:00:00
买单执行, sz123153, 115.35, 100, 2023-01-06 00:00:00
买单执行, sh113601, 108.84, 100, 2023-01-06 00:00:00
买单执行, sz123127, 114.67, 100, 2023-01-06 00:00:00
买单执行, sh113573, 114.80, 100, 2023-01-06 00:00:00
买单执行, sz123136, 114.80, 100, 2023-01-06 00:00:00
买单执行, sz128072, 108.40, 100, 2023-01-06 00:00:00
买单执行, sz123011, 114.50, 100, 2023-01-06 00:00:00
买单执行, sz128070, 121.86, 100, 2023-01-06 00:00:00
买单执行, sh113527, 114.80, 100, 2023-01-06 00:00:00
买单执行, sh113589, 97.45, 100, 2023-01-06 00:00:00
买单执行, sh113628, 107.76, 100, 2023-01-06 00:00:00
买单执行, sh118017, 121.51, 100, 2023-01-06 00:00:00
买单执行, sz128127, 107.44, 100, 2023-01-06 00:00:00
买单执行, sh113561, 120.89, 100, 2023-01-06 00:00:00
买单执行, sh113546, 120.52, 100, 2023-01-06 00:00:00
买单执行, sz123160, 113.40, 100, 2023-01-06 00:00:00
买单执行, sh113578, 101.50, 100, 2023-01-06 00:00:00
买单执行, sz128143, 119.88, 100, 2023-01-06 00:00:00
买单执行, sh113574, 112.92, 100, 2023-01-06 00:00:00
买单执行, sz123138, 120.00, 100, 2023-01-06 00:00:00
